T,V,Fv,Fd,Sv,Cv,CTE,density
0.0,12.134870336164626,-7.141836976857799,0.03529962331855181,0.0,0.0,0,6.728080918846034
10.0,12.13487207860324,-7.141837332118554,0.03529926805779663,0.013416242414969713,0.0402487272444824,1.4358936803486241e-08,6.728079952765147
20.0,12.134898322790665,-7.141842661534699,0.035293938641651375,0.10732981650567072,0.32197164161879643,2.1627035289308745e-07,6.7280654019228905
30.0,12.13501170332525,-7.141865743290958,0.03527085688539238,0.361700743890912,1.0798380261225766,9.343257127063736e-07,6.728002539877872
40.0,12.13530987691971,-7.141927437403689,0.03520916277266113,0.8458904550297031,2.4534889453752253,2.4570744174204684e-06,6.727837227848662
50.0,12.135894745848807,-7.142054006436312,0.03508259374003828,1.5890475271646431,4.340567444253249,4.819330929823213e-06,6.727512991108232
60.0,12.136834103771319,-7.142271833523757,0.034864766652593145,2.568164919024866,6.476646376401597,7.739727794581821e-06,6.726992299915375
70.0,12.138149731573467,-7.1426029130252555,0.034533687151094374,3.7296109017473786,8.616537663077036,1.083878376228809e-05,6.726263175766282
80.0,12.139828454651392,-7.14306310207724,0.034073498099109846,5.0143822483499925,10.608899186708998,1.3828227344361775e-05,6.725333052802556
90.0,12.141837977990248,-7.143662427127711,0.03347417304863892,6.371631620473576,12.386457891331148,1.6550404827495307e-05,6.7242199829563205
100.0,12.144139123980489,-7.144406229588918,0.03273037058743207,7.762491240023452,13.93476030747545,1.8948613538998146e-05,6.722945836498238
110.0,12.146692556409278,-7.145296409231555,0.03184019094479479,9.159249286855138,15.26642874928519,2.1021627220170713e-05,6.721532563886275
120.0,12.149462203303276,-7.146332477842918,0.030804122333431855,10.543073864725129,16.405271137427874,2.2796456729134744e-05,6.720000292623814
130.0,12.15241655806753,-7.147512361252835,0.02962423892351578,11.901692630368094,17.377819453611195,2.4310841799551665e-05,6.718366603983745
140.0,12.15552859426263,-7.148832975857601,0.028303624318750022,13.227485216740673,18.209338924842026,2.560181707415754e-05,6.716646580055421
150.0,12.158775496047868,-7.150290632568765,0.026845967607584897,14.516050406325046,18.922244281216248,2.6704184038045932e-05,6.714852954391499
160.0,12.162138126615382,-7.15188131306651,0.025255287109840745,15.765176187384927,19.535710282239165,2.7648350417556375e-05,6.712996408316645
170.0,12.165600558492754,-7.153600856515072,0.023535743661278388,16.97411696252248,20.065823702052793,2.8460838087888987e-05,6.711085833278028
180.0,12.169149232723527,-7.155445080945413,0.021691519230937185,18.143091828833402,20.525944268173987,2.916123520969149e-05,6.709128797753062
190.0,12.172772965243425,-7.157409866406331,0.019726733770019204,19.2729412708424,20.92711628088548,2.976916213129882e-05,6.7071315463236605
200.0,12.176462192740008,-7.15949120323121,0.017645396945140262,20.364890742428766,21.27845847796218,3.02980244851628e-05,6.705099417965504
210.0,12.180208843579326,-7.16168522378272,0.01545137639363042,21.420390865955593,21.587506796026094,3.0760152698802296e-05,6.703036919145931
220.0,12.184006112660756,-7.163988219651135,0.013148380525214564,22.44100914773454,21.86050330139359,3.116601425112369e-05,6.700947849704452
230.0,12.18784820044111,-7.166396649059333,0.010739951117017539,23.428357198399432,22.102634513663286,3.152392216548254e-05,6.6988354481199615
240.0,12.191730009583383,-7.168907137408206,0.008229462768145079,24.384042322788503,22.318225618878305,3.183969083322601e-05,6.696702559623853
250.0,12.195647259088695,-7.171516476911756,0.005620123264593865,25.309637067197695,22.51089799128368,3.212006236399319e-05,6.694551574585371
260.0,12.199596259154,-7.17422162088173,0.0029149792946198128,26.20665944649514,22.68369620938823,3.23699242287751e-05,6.692384553313222
270.0,12.203573727031158,-7.177019676472654,0.00011692370369605076,27.076561191951658,22.839190629226426,3.2592648400591684e-05,6.690203327946144
280.0,12.207576872396984,-7.179907898779397,-0.0027712986030459658,27.9207221291428,22.979560414377637,3.27923011066887e-05,6.688009456326195
290.0,12.211603240198137,-7.182883682329287,-0.005747082152935519,28.740447543818338,23.106660674612733,3.297165590754488e-05,6.685804308861191
300.0,12.215650629029092,-7.185944552966722,-0.00880795279037163,29.53696817409021,23.222077039036325,3.313281423861899e-05,6.6835891137391785
310.0,12.219717144070863,-7.18908816107954,-0.011951560903189613,30.311442153713358,23.32717018245707,3.327830745856527e-05,6.681364928404641
320.0,12.223801110356776,-7.192312273688947,-0.015175673512597125,31.06495756228649,23.423112188690165,3.340995365551986e-05,6.679132687478504
330.0,12.227901023610803,-7.195614767117384,-0.01847816694103286,31.798535662028325,23.510916418449135,3.352916617586811e-05,6.676893229980613
340.0,12.232015559420235,-7.198993620580639,-0.0218570204042886,32.51313460272929,23.59146214239822,3.3637431128536785e-05,6.674647294618853
350.0,12.236143532180279,-7.202446909612775,-0.025310309436423636,33.209653102536954,23.66551490354055,3.3735896846807276e-05,6.6723955424926515
360.0,12.24028387172612,-7.2059728000174745,-0.0288361998411236,33.88893416582727,23.733743433516942,3.382551899311326e-05,6.67013857007113
370.0,12.244435632776757,-7.20956954255376,-0.032432942377409964,34.551768798128855,23.79673376353306,3.390732880756349e-05,6.667876904254256
380.0,12.248597951417938,-7.213235467367242,-0.036098867190892205,35.19889942448033,23.85500101795515,3.398200069665965e-05,6.6656110262782
390.0,12.252770065911434,-7.2169689795019725,-0.03983237932562202,35.83102330974589,23.908999335322868,3.405037775991053e-05,6.663341360543746
400.0,12.256951291529251,-7.220768554199938,-0.04363195402358734,36.44879565447357,23.95913021903518,3.411309646556643e-05,6.661068288477594
410.0,12.261140966962195,-7.2246327321058805,-0.04749613192953005,37.05283240884248,24.005749594855466,3.417035530569879e-05,6.658792177776266
420.0,12.265338564455469,-7.228560116845047,-0.05142351666869757,37.64371334901734,24.049173834937537,3.422325010610362e-05,6.65651332267522
430.0,12.269543525866565,-7.232549369355113,-0.05541276917876292,38.22198418378386,24.089684830971272,3.4271539134534994e-05,6.654232033106844
