T,V,Fv,Fd,Sv,Cv,CTE,density
0.0,11.769198957200334,-7.118971805817642,0.033932169880576436,0.0,0.0,0,6.9371237463421735
10.0,11.769201082439519,-7.118972206399104,0.03393176929911439,0.015104497556952326,0.04531349266915874,1.8057633392015342e-08,6.937122493661799
20.0,11.769233080809764,-7.118978215681979,0.03392576001623948,0.12083508152401627,0.36247051768246075,2.718815238455009e-07,6.937103632907452
30.0,11.769371312527744,-7.119004235548288,0.0338997401499305,0.4069455659209782,1.2127136232623592,1.1745038397465255e-06,6.937022156358917
40.0,11.769732229964708,-7.119073623355938,0.033830352342280164,0.9482239669240555,2.7290615206440196,3.066488089214553e-06,6.936809433400746
50.0,11.770431218023457,-7.119215163005912,0.03368881269230608,1.7688780976204663,4.76009820891244,5.938508503231603e-06,6.93639749038269
60.0,11.771537515593536,-7.119456806300662,0.03344716939755606,2.8347185767933554,7.001383228026418,9.398071990284697e-06,6.935745602753012
70.0,11.773065888604824,-7.119820950464129,0.03308302523408919,4.082263973752875,9.19821087238902,1.2981945618493216e-05,6.934845208030626
80.0,11.774993627071733,-7.1203230325895595,0.032580943108658916,5.446698905801514,11.207652082080296,1.6371460808922663e-05,6.933709872565234
90.0,11.777279611815459,-7.120972246146858,0.03193172955136108,6.87475629110422,12.975229926829929,1.9410125420066675e-05,6.932364030782705
100.0,11.779877786899215,-7.121772971278801,0.03113100441941702,8.327193390248976,14.497518336337581,2.20560444748058e-05,6.93083502548892
110.0,11.782743740660601,-7.1227261711882415,0.030177804509976317,9.77692853268023,15.794970970100428,2.432331402995894e-05,6.929149216720772
120.0,11.785837868468226,-7.1238305139981914,0.02907346170002754,11.206148292522712,16.896418932470134,2.6252930357228762e-05,6.927330112002558
130.0,11.789126065709508,-7.125083194280808,0.027820781417410803,12.603669171952886,17.83139383385566,2.7891781146073282e-05,6.925397956248452
140.0,11.79257964445325,-7.126480509260658,0.026423466437560526,13.962886937106113,18.626831258078425,2.9286032809333e-05,6.923369781930808
150.0,11.796174535259956,-7.12801824979272,0.02488572590549907,15.280290239586229,19.305988124855464,3.0475056095183937e-05,6.921259881106088
160.0,11.79989078785937,-7.129691963602472,0.023212012095747137,16.554421835273104,19.888385722423443,3.1493957581689396e-05,6.9190801024550135
170.0,11.803711791421753,-7.131497126994278,0.021406848703940155,17.78516501502784,20.390171530336,3.237120348159947e-05,6.916840312955993
180.0,11.807623676836219,-7.133429255923426,0.019474719774792003,18.973259048218313,20.82460954539155,3.313016675946357e-05,6.9145487522258255
190.0,11.811614833373714,-7.135483975870184,0.017419999828035094,20.119972250730232,21.202568978594282,3.379010062382015e-05,6.912212319244765
200.0,11.81567552524672,-7.137657064045491,0.015246911652727655,21.22688259584276,21.532960097664684,3.436698870351859e-05,6.909836800017847
210.0,11.819797549701715,-7.139944472808289,0.012959502889929683,22.29573128680263,21.823102840916764,3.4873900654069347e-05,6.90742707039685
220.0,11.823973955746272,-7.142342340726681,0.010561634971537368,23.32832588710323,22.07902999649433,3.532150916593992e-05,6.90498726291105
230.0,11.82819876243417,-7.1448469951054365,0.008056980592781829,24.326476929674715,22.305732783369834,3.571809007230581e-05,6.902520933341002
240.0,11.832466933890924,-7.147454951001485,0.005449024696732627,25.291957918985773,22.50735837078953,3.607169562020289e-05,6.900031076999806
250.0,11.836774115566733,-7.150162904835674,0.0027410708625441003,26.226480038771836,22.687367931141697,3.638813779630129e-05,6.8975202841835195
260.0,11.84111648950551,-7.1529677266663905,-6.37509681716969e-05,27.131677539487267,22.84866321552037,3.66719974642997e-05,6.8949908257198045
270.0,11.845490883221379,-7.15586645348397,-0.0029624777857514897,28.009100793650347,22.99368809520235,3.6928766895302385e-05,6.892444590630322
280.0,11.849894371355697,-7.158856277339974,-0.005952301641755392,28.86021254822183,23.12450988338843,3.716056866264618e-05,6.889883319025686
290.0,11.854324481834048,-7.161934538644872,-0.009030562946653511,29.686388900684307,23.242885115952905,3.7371260463975934e-05,6.887308482784869
300.0,11.858779093825282,-7.165098716836429,-0.012194741138210313,30.488921344577243,23.35031260204849,3.7563833139898094e-05,6.884721345718566
310.0,11.863256300292067,-7.1683464208097245,-0.015442445111506387,31.26901989354872,23.448076475459445,3.774011412595373e-05,6.8821230440254375
320.0,11.867754368873708,-7.171675380562271,-0.018771404864052786,32.0278171593434,23.537281318522385,3.790159824540144e-05,6.879514609398536
330.0,11.872271780505262,-7.175083440074063,-0.022179464375844844,32.76637298648617,23.61888093031431,3.805010292108863e-05,6.876896947009189
340.0,11.876807293183449,-7.178568551007218,-0.02566457530899994,33.485679264466945,23.693701971863984,3.8187979026904406e-05,6.874270799045363
350.0,11.88135962262982,-7.182128762565786,-0.029224786867567396,34.1866635851383,23.7624633690528,3.831488643522221e-05,6.87163692999546
360.0,11.885927778414347,-7.185762219026763,-0.032858243328545145,34.87019464520084,23.82579257368253,3.8433312650809535e-05,6.868995932289926
370.0,11.890510849837675,-7.18946715162555,-0.036563175927331146,35.53708585839447,23.884238941513612,3.854394046821368e-05,6.86634835058702
380.0,11.895107860956964,-7.193241871356325,-0.04033789565810651,36.18809892713896,23.93828492976201,3.86462331659696e-05,6.863694765593465
390.0,11.899718162126184,-7.19708476872582,-0.04418079302760194,36.82394871940022,23.98835560915165,3.874294421437734e-05,6.8610355681593855
400.0,11.904341008423025,-7.20099430400562,-0.04809032830740205,37.44530553288493,24.034826483924554,3.883328185549397e-05,6.858371202878996
410.0,11.908975806198951,-7.204969005962703,-0.0520650302644854,38.0527990462549,24.07803024374553,3.891852541604726e-05,6.855702025939277
420.0,11.91362198190281,-7.209007466219664,-0.05610349052144607,38.647020932854666,24.11826240673386,3.899885115473118e-05,6.853028380910569
430.0,11.918279019683716,-7.213108336019595,-0.0602043603213769,39.22852773531705,24.155786152814752,3.907475041668402e-05,6.850350577174744
440.0,11.922946434720778,-7.217270322422541,-0.06436634672432251,39.79784333806929,24.19083643548246,3.9146490027582965e-05,6.847668905369195
450.0,11.92762386882902,-7.221492186467001,-0.06858821076878258,40.355461594701,24.223623522283784,3.921513756369853e-05,6.844983582588049
460.0,11.932310891321661,-7.2257727374046965,-0.07286876170647735,40.901847911371554,24.25433598553028,3.9280090297094505e-05,6.842294866855987
470.0,11.937007139817839,-7.230110831891509,-0.07720685619329085,41.4374416472101,24.283143333661886,3.934192583761085e-05,6.839602976283878
480.0,11.94171233226364,-7.23450537165303,-0.08160139595481096,41.96265798145392,24.31019826219041,3.94013213087434e-05,6.836908082338949
490.0,11.946426165786251,-7.238955299596919,-0.08605132389870011,42.477889305681686,24.335638587011882,3.94581061917217e-05,6.834210367887589
500.0,11.951148360655921,-7.243459598212018,-0.09055562251380035,42.98350690466261,24.35958894443673,3.9512478024418725e-05,6.831510002017835
510.0,11.955878679109006,-7.248017287791458,-0.09511331209323981,43.47986244153194,24.382162267295012,3.9564791346956127e-05,6.828807129339691
520.0,11.960616919421096,-7.252627424424462,-0.0997234487262437,43.96728925881368,24.403461069947713,3.9615350479089245e-05,6.826101873461862
530.0,11.965362842095114,-7.257289096980381,-0.10438512128216293,44.44610337978217,24.42357856456659,3.966384251484797e-05,6.823394379164869
540.0,11.970116269792221,-7.262001427025932,-0.10909745132771309,44.916604920643124,24.442599661038827,3.9710789686335946e-05,6.82068475537349
550.0,11.974877027937838,-7.266763566283899,-0.11385959058568138,45.37907895392127,24.46060182699593,3.975621740840911e-05,6.817973109113401
560.0,11.979644948272544,-7.271574695194101,-0.11867071949588254,45.83379647616353,24.477655852870644,3.9800180683927975e-05,6.8152595434969925
570.0,11.984419911080122,-7.276434022261064,-0.12353004656284576,46.28101541562015,24.49382653123705,3.984308663253837e-05,6.812544133732844
580.0,11.989201774464364,-7.2813407815257785,-0.12843680582755976,46.72098124665867,24.509173246160366,3.9884751914231914e-05,6.809826967406058
590.0,11.99399039549404,-7.286294231681142,-0.13339025598292337,47.15392781024297,24.523750505111998,3.992516978731505e-05,6.807108132427098
600.0,11.998785664761622,-7.291293655546896,-0.13838967984867723,47.5800781175416,24.53760841241865,3.996462143385891e-05,6.80438769743138
610.0,12.003587470002762,-7.296338358335647,-0.14343438263742775,47.999644897468,24.550793083920713,4.000308452068905e-05,6.801665732469662
620.0,12.008395781844879,-7.301427668257049,-0.14852369255883027,48.41283145034492,24.563347027471547,4.0041250550608105e-05,6.798942260452108
